word	definition	score
sedulously	in a sedulous manner	-1.0
bijou	a small and delicately worked piece	-1.0
bijouterie	jewelry or trinkets	-1.0
oofy	rich	-1.0
temporized	draw out a discussion or process in order to gain time	-1.0
rockery	a garden featuring rocks; usually alpine plants	-1.0
fug	(British informal	-1.0
bagatelle	a light piece of music for piano	-1.0
messuages	a dwelling house with outbuildings and land assigned to its use.	-1.0
turbot	flesh of a large European flatfish	0.0
dudgeon	a feeling of intense indignation (now used only in the phrase `in high dudgeon'	-1.0
uvula	a small pendant fleshy lobe at the back of the soft palate	-1.0
bilious	relating to or containing bile	-1.0
saraband	music composed for dancing the saraband	-1.0
expostulations	the act of expressing earnest opposition or protest	-1.0
palliation	easing the severity of a pain or a disease without removing the cause	-1.0
seigneur	a man of rank in the ancient regime	-1.0
blancmanges	sweet almond-flavored milk pudding thickened with gelatin or cornstarch; usually molded	-1.0
obiter dictum	a judge's incidental expression of opinion, not essential to the decision and not establishing precedent.	-1.0
porpentine	porcupine (archaic)	-1.0
harrow	a cultivator that pulverizes or smooths the soil	-1.0
poltroon	an abject coward	-1.0
rannygazoo		-1.0
ferule	a switch (a stick or cane or flat paddle	-1.0
gizzard	thick-walled muscular pouch below the crop in many birds and reptiles for grinding food	-1.0
catspaw	A person used by another as a dupe or tool.	-1.0
yestreen	yesterday evening	-1.0
preux	valiant, brave	-1.0
pourparler	a discussion preliminary to negotiations	-1.0
festschrift	a collection of writings published in honor of a scholar	-1.0
Seersucker	thin, puckered all-cotton fabric, commonly striped (From Hindi/Persian)	-1.0
Candelabra	plural: a large branched candlestick 	-1.0
Coiffure	a person's hairstyle, typically an elaborate one 	-1.0
ratiocination	reasoning, conscious deliberate inference; the activity of process of reasoning	-1.0
cineraria	a genus of flowering plants in the sunflower family. 	-1.0
Ashlar	masonry made of large square-cut stones; the stone used in such masonry; finely dressed strone	-1.0
décolletage 	a woman's cleavage as revealed by a low neckline	-1.0
ascian	one that has no shadow; an inhabitant of the tropics where the sun is vertical at noon	-1.0
percontation	A question which cannot properly be given a one-word answer like “yes” or “no”	-1.0
anthropodicy	An attempt, or an argument attempting, to justify that human beings are fundamentally good despite the commission of evil acts by some people	-1.0
reptatorial	crawling, creeping (zoology)	-1.0
bakfiets	A bicycle or tricycle with a long wheelbase between the front wheel and handlebars holding a large box, originally used to transport goods but now more commonly for carrying young children (Dutch)	-1.0
voluptuary	One whose life is devoted to sensual appetites; a pleasure-seeker, a sensualist	-1.0
arietiform	Having the shape of a ram's head or of the astrological symbol of Aries (♈︎). 	-1.0
nonpareil	 Unequalled, unrivalled; unique, A person or thing that has no equal; a paragon	-1.0
abaddon	a place of destruction; the depths of hell.	0.0
abatures	The traces left by a stag in the underwood through which he has passed.	0.0
absquatulate 	to leave abruptly	0.0
abulia	Abnormal lack of ability to act or to make decisions	0.0
acatalepsy	An ancient Skeptic doctrine that human knowledge amounts only to probability and never to certainty.	0.0
accismus	Feigning disinterest in something while actually desiring it.	0.0
accoutrement	additional items of dress or equipment, or other items carried or worn by a person or used for a particular activity	1.0
acedia	a state of listlessness or torpor, of not caring or not being concerned with one's position or condition in the world. It can lead to a state of being unable to perform one's duties in life 	0.0
aciniform	Shaped like a cluster of grapes	0.0
acyrologia	inexact, inappropriate or improper use of a word; malapropism	-1.0
addlepated	being mixed up, confused; eccentric	-1.0
adonize	 To make more attractive; to spruce up.	-1.0
aesopian language	communications that convey an innocent meaning to outsiders but hold a concealed meaning to informed members of a conspiracy or underground movement	-1.0
aesthete 	 One who cultivates an unusually high sensitivity to beauty, as in art or nature	-1.0
aestival 	adjective for Summer	-1.0
aestivate	spend a hot or dry period in torpor 	1.0
agathism 	The doctrine that all things ultimately tend towards good, although the means by which this comes about may be evil, unpleasant, unfortunate, etc.	-1.0
agathocacological 	 Composed of good and evil; pertaining to both good and evil.	-1.0
agnosy  	A lack of spiritual understanding or insight; a lack of enlightenment.	-1.0
aibohphobia 	 the irrational fear of palindromes	-1.0
ailurophile	a cat lover 	1.0
aizuchi	 term for frequent interjections during a conversation that indicate the listener is paying attention and/or understanding the speaker	-1.0
akimbo	 that position where you have your hands on your hips or when you have your legs spread apart arms akimbo, legs akimbo	-1.0
akrasia	The state of mind in which someone acts against their better judgment through weakness of will.	-1.0
alastor, n. — an avenging demon or god. more generally	any avenger of wrongs committed; an agent of retribution.	-1.0
alazon	A person characterized by arrogance, braggadocio, lack of self awareness, etc.	-1.0
albion 	 A literary term for Britain or England, often used when referring to ancient or historical times	-1.0
aleatoricism	Dependent on chance, luck, or an uncertain outcome.	-1.0
aleatory 	 depending on a roll of the dice; related to chance	-1.0
alexithymia	an inability to identify, distinguish, and describe one's emotions; (from Greek, literally meaning no words for emotions.)	-1.0
aliteracy 	 the quality or state of being able to read but uninterested in doing so	-1.0
alliciency	the quality or power to attract; attractiveness	-1.0
alnaschar	A person given to unrealistic dreams, expectations, or plans, especially of wealth or success.	-1.0
alpenglow  	the rosy light of sunrise or sunset seen on high mountains	-1.0
amaranth	an imaginary, undying flower.	-1.0
amaranthine	 Not fading or dying 	-1.0
ambisinistrous	Clumsy with both hands.	-1.0
amnicolist 	 someone who lives by a river	-1.0
amour propre	a sense of one’s own worth	1.0
anacronym 	an acronym that few remember what the letters stand for	-1.0
anaculothon	an unexpected discontinuity in the expression of ideas within a sentence	1.0
anagnorisis	 the point in the plot especially of a tragedy at which the protagonist recognizes his or her or some other character's true identity or discovers the true nature of his or her own situation	-1.0
anagnorisis 	the point in the plot especially of a tragedy at which the protagonist recognizes his or her or some other character's true identity or discovers the true nature of his or her own situation	-1.0
ananke	is the personification of inevitability, compulsion and necessity (Greek mythology)	-1.0
anaphora 	 repetition of a word or expression at the beginning of successive phrases, clauses, sentences, or verses especially for rhetorical or poetic effect; use of a grammatical substitute (such as a pronoun or a pro	-1.0
anhedonia	 Not being able to find joy in things that usually bring one joy.	-1.0
aniline	oily poisonous liquid amine obtained from nitrobenzene and used to make dyes and plastics and medicines	1.0
anodyne	1.  a painkilling drug or medicine. 2.  not likely to provoke dissent or offence; inoffensive, often deliberately so.	-1.0
anomie	 When society is so fractured, or an individual so isolated, that social norms no longer apply. A sense of apathy and detachment with no moral compass.	-1.0
anomie	a condition in which society provides little moral guidance to individuals	-1.0
anorak	A person who is extremely interested in something that other people find boring	-1.0
anosognosia 	an inability or refusal to recognize a defect or disorder that is clinically evident	-1.0
antebellum	Existing before a war; especially existing before the American Civil War.	-1.0
antejentacular	Occurring before breakfast.	-1.0
anthypophora	A figure of reasoning in which one asks and then immediately answers one's own questions (or raises and then settles imaginary objections)	-1.0
antithalian	Opposed to fun or festivity.	-1.0
aphantasia	 A condition where one does not possess a functioning mind's eye and cannot visualize imagery	-1.0
apocryphal	A statement or story that is probably not true, but told to be and believed by some people to have happened	-1.0
apogee 	 the highest point in the development of something; a climax or culmination;	-1.0
apophasis	The raising of an issue by claiming not to mention it.	-1.0
apophenia 	tendency to perceive meaningful patterns within random data.	0.0
aposiopesis	a sudden breaking off in the midst of a sentence, as if from inability or unwillingness to proceed.	-1.0
apotheosis	the highest point in the development of something; culmination or climax; the perfect form or example of something	-1.0
apotropaic	Intended to ward off evil.	-1.0
appetency 	a fixed and strong desire or longing	-1.0
apricity 	 the warmth of the sun in Winter.	-1.0
aptronym	 A person's name that is regarded as amusingly appropriate to their occupation.	-1.0
aptronym	A name that suits its owner in an apt way	-1.0
arcturus	a bright star in Boötes 	1.0
arcuate	shaped like a bow	1.0
are there no suitable antonyms for the word traveler as in wanderer or nomad. i'm searching for single words (not phrases) that describe the contently healthy person who has no interest in travel, but is satisfied in living a routine, stay	at	-1.0
argot	 A specialized vocabulary or set of idioms used by a particular group	-1.0
armamentarium	the medicines, equipment, and techniques available to a medical practitioner	1.0
asphodel	The flower said to carpet Hades, and a favorite food of the dead.	-1.0
assemblage	a gathering, collection 	1.0
asterism	 Three asterisks, printed to draw attention to a passage it precedes.	-1.0
ataraxy 	A state of serene calmness; from Ancient Greek ἀταραξία (impassiveness)	-1.0
atramentous	 black as ink; inky	-1.0
atropos	one of the three fates, the unchanging, the inflexible, the one who cuts the thread of fate	-1.0
augean	extremely formidable or difficult and occasionally distasteful	-1.0
aureate	denoting, made of, or having the color of gold.	-1.0
aurulent 	 golden in color	-1.0
autodidact 	a person who teaches himself or herself, rather than being taught by a teacher	-1.0
autodidacticism ; the process or practice of learning a subject without a teacher or formal education; self	education	-1.0
autogolpe	a military coup initiated or abetted by a country's elected leader, especially in order to establish absolute control of the state.	-1.0
autonoesis	awareness of one’s own existence as an entity in time	-1.0
autopoiesis	refers to a system capable of reproducing and maintaining itself by creating its own parts and eventually further components 	-1.0
ayauhcozamalotl	a rainbow produced on fog; a fogbow (Nahuatl)	-1.0
bacchanal	 A wild and drunken celebration.	-1.0
bacchanalian	characterized by or involving drunken revelry	-1.0
backpfeifengesicht	a face in need of a slap (German)	0.0
bafflegab	 Obscure, pompous, or incomprehensible language, such as bureaucratic jargon.	-1.0
bagman 	a person who on behalf of another collects or distributes illicitly gained money	-1.0
bailiwick 	  one's sphere of operations, area of skill or authority	-1.0
balter	To dance gracelessly	-1.0
banneret 	 A feudal knight ranking between a knight bachelor and a baron, who was entitled to lead men into battle under his own standard; a small banner; A knight honored for valor, entitled to display a square banner and to hold higher command.	-1.0
barathrum  	a bottomless pit or abyss; hell.	-1.0
bathykolpian	deep bosomed	-1.0
batrachophagous	feeding on frogs	-1.0
becoming	pretty, fetching 	0.0
beleaguer	lay siege to 	0.0
bellibone	 A Woman Who Excels In Both Beauty And Goodness	-1.0
belvedere	italian fair view, raised structure offering a pleasant view 	0.0
benighted	Existing in a state of intellectual, moral, or social darkness.	-1.0
benthocosm	a deep-sea environment	1.0
bibliolatry 	 1) An excessive adherence to the literal interpretation of the Bible; 2) An excessive love of books.	-1.0
billet-doux	a love letter	0.0
blatherskite	A talkative silly person	-1.0
blepharal	 Of or relating to the eyelids.	-1.0
bluebeard	A man who marries and kills one wife after another.	-1.0
bluestocking	A woman with considerable scholarly, literary, or intellectual ability or interest.	-1.0
boondoggle	work of little or no value done merely to keep or look busy.	-1.0
